LocalTime,Symbol,Last,Bid1,BidQty1,Ask1,AskQty1
2016-Feb-16 09:30:00.048748,10000528,0.113,0.106,1,0.113,1
2016-Feb-16 09:30:00.048966,10000539,0.043,0.0411,1,0.0431,1
2016-Feb-16 09:30:00.049018,10000540,0.0409,0.0409,1,0.0425,19
2016-Feb-16 09:30:00.547168,10000512,0.0008,0.0006,10,0.002,2
2016-Feb-16 09:30:00.547193,10000527,0.0105,0.0105,2,0.012,3
2016-Feb-16 09:30:00.547405,10000533,0.0227,0.0227,1,0.0235,1
2016-Feb-16 09:30:00.547435,10000540,0.0409,0.0409,1,0.0425,19
2016-Feb-16 09:30:01.070368,10000508,0.0004,0.0003,20,0.0004,10
2016-Feb-16 09:30:01.070489,10000540,0.0409,0.0409,1,0.042,5
2016-Feb-16 09:30:01.070524,10000566,0.0037,0.0028,10,0.0039,3
2016-Feb-16 09:30:01.574582,10000512,0.0008,0.0006,10,0.0019,3
2016-Feb-16 09:30:01.574680,10000539,0.043,0.0411,1,0.0431,1
2016-Feb-16 09:30:01.574760,10000540,0.0409,0.0409,1,0.042,5
2016-Feb-16 09:30:02.589777,10000539,0.043,0.0411,1,0.0431,1
2016-Feb-16 09:30:02.589845,10000566,0.0037,0.0028,10,0.0039,3
2016-Feb-16 09:30:03.087790,10000519,0.0059,0.0059,18,0.009,5
2016-Feb-16 09:30:04.520358,510050,1.96,1.959,532800,1.96,984000
2016-Feb-16 09:30:04.522028,10000519,0.0059,0.0059,18,0.0087,3
2016-Feb-16 09:30:04.522059,10000522,0.2091,0.1788,4,0.2085,1
2016-Feb-16 09:30:04.522120,10000533,0.0227,0.0227,1,0.0235,1
2016-Feb-16 09:30:04.522190,10000539,0.043,0.0411,1,0.0431,1
2016-Feb-16 09:30:04.522248,10000540,0.0409,0.0409,1,0.042,5
2016-Feb-16 09:30:04.522288,10000566,0.0037,0.0028,10,0.0039,3
2016-Feb-16 09:30:05.116550,10000503,0.5111,0.4801,10,0.5825,5
2016-Feb-16 09:30:05.116587,10000550,0.0213,0.015,6,0.0211,3
2016-Feb-16 09:30:05.616643,10000508,0.0004,0.0003,20,0.0005,20
2016-Feb-16 09:30:05.616673,10000520,0.0023,0,0,0.0025,15
2016-Feb-16 09:30:05.616694,10000521,0.1393,0.1377,2,0.163,1
2016-Feb-16 09:30:05.616749,10000540,0.0409,0.0409,1,0.042,5
2016-Feb-16 09:30:06.124782,10000521,0.1393,0.1393,1,0.163,1
2016-Feb-16 09:30:06.620234,10000522,0.2091,0.1789,10,0.2085,1
2016-Feb-16 09:30:06.620254,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:06.620273,10000549,0.0086,0.0076,10,0.0089,3
2016-Feb-16 09:30:07.126796,10000539,0.0431,0.0411,1,0.0432,2
2016-Feb-16 09:30:07.572020,10000513,0.2583,0.2418,10,0.2583,1
2016-Feb-16 09:30:07.572041,10000527,0.012,0.012,3,0.0125,10
2016-Feb-16 09:30:07.572073,10000528,0.113,0.1078,10,0.113,1
2016-Feb-16 09:30:07.572090,10000539,0.0431,0.041,5,0.0432,2
2016-Feb-16 09:30:07.572177,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:07.572263,10000548,0.0691,0.0655,1,0.0706,1
2016-Feb-16 09:30:07.572315,10000550,0.0213,0.0151,10,0.0211,3
2016-Feb-16 09:30:08.079760,10000539,0.0431,0.042,5,0.0432,2
2016-Feb-16 09:30:08.079831,10000549,0.0086,0.0076,10,0.0089,3
2016-Feb-16 09:30:08.574678,10000522,0.2091,0.1789,10,0.2085,1
2016-Feb-16 09:30:08.574694,10000527,0.012,0.012,3,0.0125,10
2016-Feb-16 09:30:08.574733,10000528,0.113,0.1088,1,0.113,1
2016-Feb-16 09:30:08.574818,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:08.574847,10000565,0.1522,0.1525,1,0.1547,10
2016-Feb-16 09:30:09.587622,510050,1.96,1.959,490000,1.96,871700
2016-Feb-16 09:30:09.590170,10000497,0.0004,0.0002,48,0.0004,30
2016-Feb-16 09:30:09.590218,10000498,0.0004,0.0001,40,0.0004,30
2016-Feb-16 09:30:09.590242,10000499,0.0003,0.0001,22,0.0004,60
2016-Feb-16 09:30:09.590266,10000500,0.0003,0.0002,120,0.0004,40
2016-Feb-16 09:30:09.590298,10000501,0.0003,0.0001,44,0.0003,31
2016-Feb-16 09:30:09.590363,10000507,0.0004,0.0004,81,0.0007,10
2016-Feb-16 09:30:09.590399,10000508,0.0004,0.0003,20,0.0005,30
2016-Feb-16 09:30:09.590426,10000511,0.0013,0.0009,12,0.0013,9
2016-Feb-16 09:30:09.590458,10000512,0.0008,0.0006,10,0.0009,10
2016-Feb-16 09:30:09.590506,10000513,0.2583,0.2429,1,0.2583,1
2016-Feb-16 09:30:09.590538,10000520,0.0023,0.002,10,0.0025,15
2016-Feb-16 09:30:09.590580,10000522,0.2091,0.1802,1,0.2085,1
2016-Feb-16 09:30:09.590699,10000527,0.012,0.012,3,0.013,9
2016-Feb-16 09:30:09.590718,10000528,0.113,0.1088,1,0.113,1
2016-Feb-16 09:30:09.590977,10000539,0.0431,0.042,5,0.0432,2
2016-Feb-16 09:30:09.591045,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:09.591177,10000550,0.0213,0.0157,3,0.0211,3
2016-Feb-16 09:30:10.093061,10000500,0.0003,0.0002,130,0.0004,40
2016-Feb-16 09:30:10.093089,10000513,0.2583,0.2429,1,0.2583,1
2016-Feb-16 09:30:10.093118,10000533,0.0227,0.0227,11,0.0234,10
2016-Feb-16 09:30:10.614006,10000520,0.0023,0.002,10,0.0025,15
2016-Feb-16 09:30:10.614248,10000527,0.012,0.012,3,0.0127,3
2016-Feb-16 09:30:10.614290,10000528,0.113,0.1088,1,0.113,1
2016-Feb-16 09:30:10.614367,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:10.614496,10000549,0.0086,0.0076,10,0.0089,3
2016-Feb-16 09:30:11.095817,10000500,0.0003,0.0002,133,0.0004,40
2016-Feb-16 09:30:11.095851,10000511,0.0013,0.0009,12,0.0013,9
2016-Feb-16 09:30:11.095881,10000513,0.2583,0.2429,1,0.2583,1
2016-Feb-16 09:30:11.095926,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:11.095987,10000550,0.0213,0.016,3,0.0211,3
2016-Feb-16 09:30:11.600667,10000511,0.0013,0.0009,12,0.0013,9
2016-Feb-16 09:30:11.600975,10000527,0.012,0.012,3,0.0127,3
2016-Feb-16 09:30:12.103348,10000503,0.5111,0.4801,10,0.5825,5
2016-Feb-16 09:30:12.103440,10000540,0.0409,0.0406,1,0.042,5
2016-Feb-16 09:30:12.103489,10000550,0.0213,0.0164,3,0.0211,3
2016-Feb-16 09:30:12.637897,10000511,0.0013,0.0009,12,0.0013,5
2016-Feb-16 09:30:12.637944,10000520,0.0025,0.002,10,0.0025,7
2016-Feb-16 09:30:12.638155,10000527,0.012,0.012,3,0.0127,3
2016-Feb-16 09:30:12.638191,10000539,0.0431,0.042,5,0.0432,2
2016-Feb-16 09:30:12.638237,10000548,0.0706,0.0655,1,0.0711,10
2016-Feb-16 09:30:12.638292,10000565,0.1547,0.1525,1,0.1547,6
2016-Feb-16 09:30:13.134362,10000511,0.0013,0.0013,4,0.0014,10
2016-Feb-16 09:30:13.134399,10000520,0.0025,0.0025,1,0.0028,1
2016-Feb-16 09:30:13.134911,10000540,0.0406,0.0402,2,0.042,5
2016-Feb-16 09:30:14.591004,510050,1.96,1.959,481000,1.96,849600
2016-Feb-16 09:30:14.593539,10000520,0.0025,0.0025,1,0.0028,1
2016-Feb-16 09:30:14.593608,10000527,0.012,0.0111,10,0.012,7
2016-Feb-16 09:30:14.594660,10000548,0.0706,0.0655,1,0.071,5
2016-Feb-16 09:30:14.696373,10000511,0.0014,0.0009,12,0.0015,10
2016-Feb-16 09:30:14.696396,10000520,0.0028,0.002,10,0.003,1
2016-Feb-16 09:30:14.696412,10000533,0.0227,0.0227,10,0.0234,10
2016-Feb-16 09:30:15.190170,10000511,0.0014,0.0014,1,0.0015,10
2016-Feb-16 09:30:15.190336,10000520,0.0028,0.0028,1,0.003,1
2016-Feb-16 09:30:15.190499,10000540,0.0401,0.0401,4,0.0413,3
2016-Feb-16 09:30:15.190523,10000565,0.1547,0.153,4,0.1547,6
2016-Feb-16 09:30:15.689445,10000497,0.0004,0.0002,48,0.0004,30
2016-Feb-16 09:30:15.689461,10000498,0.0004,0.0001,42,0.0004,30
2016-Feb-16 09:30:15.689477,10000499,0.0003,0.0001,24,0.0004,60
2016-Feb-16 09:30:15.689492,10000500,0.0003,0.0002,133,0.0004,40
2016-Feb-16 09:30:15.689521,10000501,0.0003,0.0001,46,0.0003,31
2016-Feb-16 09:30:15.690000,10000502,0.4596,0.3911,2,0.4682,1
2016-Feb-16 09:30:15.690035,10000503,0.5111,0.4802,2,0.5825,5
2016-Feb-16 09:30:15.690064,10000507,0.0004,0.0004,81,0.0007,10
2016-Feb-16 09:30:15.690090,10000508,0.0004,0.0003,20,0.0005,30
2016-Feb-16 09:30:15.690122,10000509,0.3598,0.2912,2,0.4332,1
2016-Feb-16 09:30:15.690139,10000510,0.4126,0.3573,2,0.483,1
2016-Feb-16 09:30:15.690155,10000511,0.0014,0.0014,1,0.0015,10
2016-Feb-16 09:30:15.690185,10000512,0.0008,0.0006,10,0.0009,10
2016-Feb-16 09:30:15.690200,10000513,0.2583,0.243,2,0.2582,2
2016-Feb-16 09:30:15.690216,10000514,0.3099,0.2508,2,0.383,1
2016-Feb-16 09:30:15.690232,10000519,0.0059,0.006,2,0.0086,4
2016-Feb-16 09:30:15.690252,10000520,0.0028,0.0028,3,0.003,1
2016-Feb-16 09:30:15.690271,10000522,0.2091,0.1803,2,0.2084,2
2016-Feb-16 09:30:15.690287,10000527,0.012,0.0112,4,0.012,7
2016-Feb-16 09:30:15.690303,10000528,0.113,0.1088,1,0.1129,2
2016-Feb-16 09:30:15.690320,10000548,0.0706,0.0656,4,0.071,5
2016-Feb-16 09:30:15.690342,10000549,0.0086,0.0076,10,0.0088,4
2016-Feb-16 09:30:15.690370,10000550,0.0213,0.0165,4,0.021,4
2016-Feb-16 09:30:15.690387,10000565,0.1547,0.153,6,0.1547,6
2016-Feb-16 09:30:15.690410,10000566,0.0037,0.0028,10,0.0038,4
2016-Feb-16 09:30:16.194705,10000497,0.0004,0.0002,48,0.0004,30
2016-Feb-16 09:30:16.194735,10000498,0.0004,0.0001,44,0.0004,30
2016-Feb-16 09:30:16.194791,10000499,0.0003,0.0001,26,0.0004,60
2016-Feb-16 09:30:16.194872,10000500,0.0003,0.0002,133,0.0004,40
2016-Feb-16 09:30:16.194895,10000501,0.0003,0.0001,48,0.0003,31
2016-Feb-16 09:30:16.195244,10000502,0.4596,0.3911,4,0.4682,1
2016-Feb-16 09:30:16.195268,10000503,0.5111,0.4802,4,0.5825,5
2016-Feb-16 09:30:16.195283,10000507,0.0004,0.0004,81,0.0007,10
2016-Feb-16 09:30:16.195300,10000508,0.0004,0.0003,20,0.0005,30
2016-Feb-16 09:30:16.195345,10000509,0.3598,0.2912,4,0.4332,1
2016-Feb-16 09:30:16.195381,10000510,0.4126,0.3573,4,0.483,1
2016-Feb-16 09:30:16.195434,10000511,0.0014,0.0014,1,0.0015,10
2016-Feb-16 09:30:16.195455,10000512,0.0008,0.0006,10,0.0009,10
2016-Feb-16 09:30:16.195500,10000513,0.2583,0.243,2,0.2582,4
2016-Feb-16 09:30:16.195525,10000514,0.3099,0.2508,4,0.383,1
