X, Y, Z, correlation_coefficient_rho(X_Z), theoretical_rho, rho(X_Z) - rho
-0.906080, 2.444481, 1.663942, 0.451512, 0.500000, -0.048488 
0.328698, 0.216756, 0.352065, , ,
-0.129138, 0.289830, 0.186431, , ,
0.590448, -1.017540, -0.585991, , ,
1.564224, -1.417477, -0.445460, , ,
1.312958, -1.226819, -0.405978, , ,
1.207476, -0.231612, 0.403156, , ,
0.139580, 0.011517, 0.079764, , ,
2.497705, -0.423874, 0.881767, , ,
0.706806, 0.911911, 1.143142, , ,
0.244165, 0.216269, 0.309377, , ,
0.301384, 1.917657, 1.811432, , ,
-0.112089, 0.713829, 0.562149, , ,
1.585041, 1.083413, 1.730783, , ,
-0.100342, 0.001974, -0.048462, , ,
0.446116, -1.252675, -0.861790, , ,
-1.135185, 0.115911, -0.467211, , ,
-0.247709, 0.527149, 0.332670, , ,
1.097454, 0.352552, 0.854046, , ,
0.647079, 0.919482, 1.119834, , ,
-0.244281, 0.635576, 0.428285, , ,
3.074745, 0.232832, 1.739011, , ,
-1.132840, 1.857527, 1.042246, , ,
-0.784761, -0.456940, -0.788102, , ,
0.087968, 0.048603, 0.086075, , ,
-0.640136, -0.708670, -0.933794, , ,
-1.263485, -0.144256, -0.756672, , ,
-0.116411, 2.427773, 2.044308, , ,
1.611617, 0.688384, 1.401967, , ,
-0.687963, 1.621688, 1.060441, , ,
-0.404342, 0.283007, 0.042921, , ,
1.314174, 0.594902, 1.172287, , ,
-1.091673, -1.009425, -1.420024, , ,
0.903851, -0.043020, 0.414669, , ,
-0.691880, 0.119810, -0.242182, , ,
-0.833868, -2.556280, -2.630738, , ,
-1.096899, -0.147429, -0.676127, , ,
1.053493, 0.243763, 0.737852, , ,
-0.991904, -1.238059, -1.568142, , ,
0.930912, 2.382426, 2.528698, , ,
-0.364848, 0.705101, 0.428212, , ,
-1.315843, -1.020805, -1.541964, , ,
0.248799, -0.660114, -0.447276, , ,
0.009815, -0.648711, -0.556893, , ,
-1.030386, 0.748851, 0.133331, , ,
0.019019, 0.819071, 0.718846, , ,
0.730284, -0.922421, -0.433698, , ,
-0.032812, -0.525363, -0.471384, , ,
0.559758, 0.750249, 0.929614, , ,
0.349385, -0.362778, -0.139483, , ,
0.897479, -0.925017, -0.352349, , ,
0.487516, -0.003223, 0.240967, , ,
1.251939, -2.104607, -1.196673, , ,
0.214535, 1.639474, 1.527094, , ,
0.179875, 0.709219, 0.704139, , ,
-0.292198, 0.622739, 0.393209, , ,
-0.409613, -0.414641, -0.563896, , ,
-0.478516, 0.154645, -0.105332, , ,
-0.521142, 0.176141, -0.108028, , ,
2.850585, 1.745292, 2.936760, , ,
0.174661, 1.568973, 1.446101, , ,
0.097996, -0.440313, -0.332324, , ,
0.509374, -0.632758, -0.293298, , ,
0.421264, 0.528789, 0.668577, , ,
-1.163139, 0.309991, -0.313110, , ,
0.630956, -1.081358, -0.621005, , ,
-0.263021, -0.014007, -0.143641, , ,
0.061621, -0.382091, -0.300090, , ,
0.448697, 0.507851, 0.664161, , ,
0.211924, 0.979529, 0.954259, , ,
0.986500, 1.060735, 1.411874, , ,
-0.848806, 1.431001, 0.814880, , ,
0.540510, 1.746534, 1.782798, , ,
0.624811, 1.048811, 1.220703, , ,
0.508317, -0.251124, 0.036679, , ,
-0.320416, 1.148823, 0.834702, , ,
1.472922, -0.161756, 0.596376, , ,
-0.422563, -0.189426, -0.375329, , ,
-0.668623, 0.489368, 0.089494, , ,
-0.213083, -1.545182, -1.444708, , ,
1.165335, -0.502073, 0.147859, , ,
-1.766864, -0.862551, -1.630423, , ,
0.296299, -1.325746, -0.999980, , ,
-0.555993, 0.316698, -0.003728, , ,
0.699396, 0.002474, 0.351841, , ,
-0.647878, -0.939313, -1.137408, , ,
-0.642286, 0.430773, 0.051917, , ,
0.391846, -0.376032, -0.129730, , ,
-0.776396, 1.352973, 0.783511, , ,
0.745448, 2.233655, 2.307126, , ,
-0.364093, 0.932078, 0.625157, , ,
2.225355, -1.279576, 0.004532, , ,
0.447268, -1.003374, -0.645313, , ,
-1.611999, -0.695426, -1.408256, , ,
0.254089, 0.393480, 0.467809, , ,
1.104681, -0.487417, 0.130225, , ,
-0.810903, 1.762711, 1.121101, , ,
0.201085, -0.373640, -0.223039, , ,
-1.086550, 0.738541, 0.096321, , ,
0.483129, 1.306685, 1.373187, , ,
